,id,sha,source,title,doi,pmcid,pubmed_id,license,summary,published,author,journal,Microsoft Academic Paper ID,WHO #Covidence,arxiv_id,has_pdf_parse,has_pmc_xml_parse,full_text_file,url,paper_type
31966,w4f3msl5,2e398a8f899d004693cc0bf38222f451e038958a,Elsevier,Examining the Effect of Social Distancing on the Compound Growth Rate of SARS-CoV-2 at the County Level (United States) Using Statistical Analyses and a Random Forest Machine Learning Model,10.1016/j.puhe.2020.04.016,,,els-covid,"Abstract Objectives The goal of the present work is to investigate trends among US counties and COVID-19 growth rate in relation to the existence of shelter in place (SIP) orders in that county. Study Design Prospective cohort study. Methods Compound growth rates were calculated using cumulative confirmed COVID-19 cases from January 21, 2020, to March 31, 2020 in all 3,139 US counties. Compound growth was chosen as it gives a single number that can be used in machine learning to represent speed of virus spread during defined time intervals. Statistical analyses and a random forest machine learning model were used to analyze the data for differences in counties with and without shelter in place orders. Results Statistical analyses revealed that the March 16 presidential recommendation (limiting gatherings to < 10 people) lowered the compound growth rate of COVID-19 for all counties in the US by 6.6%, and the counties that implemented SIP after March 16 had a further reduction of 7.8% over the counties with no SIP after March 16. A random forest machine learning model was built to predict compound growth rate after a SIP order and was found to have an accuracy of 92.3%. The random forest found that population, longitude, and population per square mile were the most important features when predicting the effect of SIP. Conclusions Shelter in place orders were found to be effective at reducing the growth rate of COVID-19 cases in the US. Counties with a large population or a high population density were found to benefit the most from a shelter in place order.",2020-04-28,"Cobb, J.S.; Seale, M.A.",Public Health,,,,True,False,custom_license,https://doi.org/10.1016/j.puhe.2020.04.016,AI
33029,05zmldvj,0a312b1ea71937f92cf9470a3c171f1643e55786,Elsevier,COVIDiagnosis-Net: Deep Bayes-SqueezeNet based Diagnostic of the Coronavirus Disease 2019 (COVID-19) from X-Ray Images,10.1016/j.mehy.2020.109761,,,els-covid,"Abstract The COVID-19 outbreak has a tremendous impact on global health and the daily life of people still living in more than two hundred countries. The crucial action to gain the force in the fight of COVID-19 is to have powerful monitoring of the site forming infected patients. Most of the initial tests rely on detecting the genetic material of the coronavirus, and they have a poor detection rate with the time-consuming operation. In the ongoing process, radiological imaging is also preferred where chest X-rays are highlighted in the diagnosis. Early studies express the patients with an abnormality in chest X-rays pointing to the presence of the COVID-19. On this motivation, there are several studies cover the deep learning-based solutions to detect the COVID-19 using chest X-rays. A part of the existing studies use non-public datasets, others perform on complicated Artificial Intelligent (AI) structures. In our study, we demonstrate an AI-based structure to outperform the existing studies. The SqueezeNet that comes forward with its light network design is tuned for the COVID-19 diagnosis with Bayesian optimization additive. Fine-tuned hyperparameters and augmented dataset make the proposed network perform much better than existing network designs and to obtain a higher COVID-19 diagnosis accuracy.",2020-04-23,"Ucar, Ferhat; Korkmaz, Deniz",Medical Hypotheses,,,,True,False,custom_license,https://doi.org/10.1016/j.mehy.2020.109761,AI
33709,dcb237an,38480cc7d6e8c150461a4d5d280d98cfec4f7624,Elsevier,SBDiEM: A new Mathematical model of Infectious Disease Dynamics,10.1016/j.chaos.2020.109828,,,els-covid,"Abstract A worldwide multi-scale interplay among a plethora of factors, ranging from micro-pathogens and individual or population interactions to macro-scale environmental, socio-economic and demographic conditions, entails the development of highly sophisticated mathematical models for robust representation of the contagious disease dynamics that would lead to the improvement of current outbreak control strategies and vaccination and prevention policies. Due to the complexity of the underlying interactions, both deterministic and stochastic epidemiological models are built upon incomplete information regarding the infectious network. Hence, rigorous mathematical epidemiology models can be utilized to combat epidemic outbreaks. We introduce a new spatiotemporal approach (SBDiEM) for modeling, forecasting and nowcasting infectious dynamics, particularly in light of recent efforts to establish a global surveillance network for combating pandemics with the use of artificial intelligence. This model can be adjusted to describe past outbreaks as well as COVID-19. Our novel methodology may have important implications for national health systems, international stakeholders and policy makers.",2020-04-23,"Bekiros, Stelios; Kouloumpou, Dimitra","Chaos, Solitons & Fractals",,,,True,False,custom_license,https://doi.org/10.1016/j.chaos.2020.109828,AI
34663,qmqoe2ql,8c11434e157f6b8da0d8bc2a6286af9d2267a8ea,Elsevier,The Potential Dangers of Artificial Intelligence for Radiology and Radiologists,10.1016/j.jacr.2020.04.010,,,els-covid,,2020-04-17,"Chu, Linda C.; Anandkumar, Anima; Chang Shin, Hoo; Fishman, Elliot K.",Journal of the American College of Radiology,,,,True,False,custom_license,https://doi.org/10.1016/j.jacr.2020.04.010,AI
35151,zb434ve3,dda279eb76f13d551fa81fe4eaa4526b6314b9c9,Elsevier,Predicting commercially available antiviral drugs that may act on the novel coronavirus (SARS-CoV-2) through a drug-target interaction deep learning model,10.1016/j.csbj.2020.03.025,,,els-covid,"Abstract The infection of a novel coronavirus found in Wuhan of China (SARS-CoV-2) is rapidly spreading, and the incidence rate is increasing worldwide. Due to the lack of effective treatment options for SARS-CoV-2, various strategies are being tested in China, including drug repurposing. In this study, we used our pre-trained deep learning-based drug-target interaction model called Molecule Transformer-Drug Target Interaction (MT-DTI) to identify commercially available drugs that could act on viral proteins of SARS-CoV-2. The result showed that atazanavir, an antiretroviral medication used to treat and prevent the human immunodeficiency virus (HIV), is the best chemical compound, showing an inhibitory potency with Kd of 94.94 nM against the SARS-CoV-2 3C-like proteinase, followed by remdesivir (113.13 nM), efavirenz (199.17 nM), ritonavir (204.05 nM), and dolutegravir (336.91 nM). Interestingly, lopinavir, ritonavir, and darunavir are all designed to target viral proteinases. However, in our prediction, they may also bind to the replication complex components of SARS-CoV-2 with an inhibitory potency with Kd < 1,000 nM. In addition, we also found that several antiviral agents, such as Kaletra (lopinavir/ritonavir), could be used for the treatment of SARS-CoV-2. Overall, we suggest that the list of antiviral drugs identified by the MT-DTI model should be considered, when establishing effective treatment strategies for SARS-CoV-2.",2020-03-30,"Beck, Bo Ram; Shin, Bonggun; Choi, Yoonjung; Park, Sungsoo; Kang, Keunsoo",Computational and Structural Biotechnology Journal,,,,True,False,custom_license,https://doi.org/10.1016/j.csbj.2020.03.025,AI
35368,24et9foe,b94949b26f0f9386f3fa83049db8678a299754e7,Elsevier,Chaos game representation dataset of SARS-CoV-2 genome,10.1016/j.dib.2020.105618,,,els-covid,"Abstract As of April 16, 2020, the novel coronavirus disease (called COVID-19) spread to more than 185 countries/regions with more than 142,000 deaths and more than 2,000,000 confirmed cases. In the bioinformatics area, one of the crucial points is the analysis of the virus nucleotide sequences using approaches such as data stream, digital signal processing, and machine learning techniques and algorithms. However, to make feasible this approach, it is necessary to transform the nucleotide sequences string to numerical values representation. Thus, the dataset provides a chaos game representation (CGR) of SARS-CoV-2 virus nucleotide sequences. The dataset provides the CGR of 100 instances of SARS-CoV-2 virus, 11540 instances of other viruses from the Virus-Host DB dataset, and three instances of Riboviria viruses from NCBI (Betacoronavirus RaTG13, bat-SL-CoVZC45, and bat-SL-CoVZXC21).",2020-04-25,"Barbosa, Raquel de M.; Fernandes, Marcelo A.C.",Data in Brief,,,,True,False,custom_license,https://doi.org/10.1016/j.dib.2020.105618,AI
35410,aafclscp,5ea498bc6eb694290d6fd2b6216eeaa8f5451174,Elsevier,Quantitative computed tomography of the coronavirus disease 2019 (COVID-19) pneumonia,10.1016/j.jrid.2020.04.004,,,els-covid,"Abstract Objective To quantify coronavirus diseases 2019 (COVID-19) pneumonia and to explore whether quantitative computer tomography (CT) could be used to assess severity on admission. Materials and methods From January 17 to February 9, 2020, 38 hospitalized patients with COVID-19 pneumonia were consecutively enrolled in our hospitals. All clinical data and the chest CT on admission were retrospectively reviewed and analyzed. Firstly, a quantitative method based on multi-scale convolutional neural networks was used to assess the infected lung segments and this was compared with the semi-quantitative method. Secondly, the quantitative method was tested with laboratory results and the pneumonia severity index (PSI) by correlation analyses. Thirdly, both quantitative and semi-quantitative parameters between patients with different PSI were compared. Results Thirty cases were finally enrolled: 16 (53.33%) of them were male, and the mean age was 48 years old. The interval from onset symptoms to first chest CT scan was 8 days. The proportion of ground glass opacity (GGO), consolidation and the total lesion based on the quantitative method was positively correlated with the semi-quantitative CT score (P < 0.001 for all; rs = 0.88, 0.87, 0.90), CRP (P = 0.0278, 0.0168, 0.0078; rs = 0.40, 0.43, 0.48) and ESR (P = 0.0296, 0.0408, 0.0048; rs = 0.46, 0.44, 0.58), respectively, and was negatively correlated with the lymphocyte count (P = 0.0222, 0.0024, 0.0068; rs = −0.42, −0.53, −0.48). There was a positive correlation trend between the proportion of total infection and the pneumonia severity index (P = 0.0994; rs = 0.30) and a tendency that patients with severe COVID-19 pneumonia had higher percentage of consolidation and total infection (P = 0.0903, 0.0989). Conclusions Quantitative CT may have potential in assessing the severity of COVID-19 pneumonia on admission.",2020-04-28,"Cheng, Zenghui; Qin, Le; Cao, Qiqi; Dai, Jianyi; Pan, Ashan; Yang, Wenjie; Gao, Yaozong; Chen, Lei; Yan, Fuhua",Radiology of Infectious Diseases,,,,True,False,custom_license,https://doi.org/10.1016/j.jrid.2020.04.004,AI
35759,t9bt70f2,a05179c57d5e1cdddc839ff3c0b70a614efbb6cb,biorxiv,Host and infectivity prediction of Wuhan 2019 novel coronavirus using deep learning algorithm,10.1101/2020.01.21.914044,,,biorxiv,"AbstractThe recent outbreak of pneumonia in Wuhan, China caused by the 2019 Novel Coronavirus (2019-nCoV) emphasizes the importance of detecting novel viruses and predicting their risks of infecting people. In this report, we introduced the VHP (Virus Host Prediction) to predict the potential hosts of viruses using deep learning algorithm. Our prediction suggests that 2019-nCoV has close infectivity with other human coronaviruses, especially the severe acute respiratory syndrome coronavirus (SARS-CoV), Bat SARS-like Coronaviruses and the Middle East respiratory syndrome coronavirus (MERS-CoV). Based on our prediction, compared to the Coronaviruses infecting other vertebrates, bat coronaviruses are assigned with more similar infectivity patterns with 2019-nCoVs. Furthermore, by comparing the infectivity patterns of all viruses hosted on vertebrates, we found mink viruses show a closer infectivity pattern to 2019-nCov. These consequences of infectivity pattern analysis illustrate that bat and mink may be two candidate reservoirs of 2019-nCov.These results warn us to beware of 2019-nCoV and guide us to further explore the properties and reservoir of it.One Sentence SummaryIt is of great value to identify whether a newly discovered virus has the risk of infecting human. Guo et al. proposed a virus host prediction method based on deep learning to detect what kind of host a virus can infect with DNA sequence as input. Applied to the Wuhan 2019 Novel Coronavirus, our prediction demonstrated that several vertebrate-infectious coronaviruses have strong potential to infect human. This method will be helpful in future viral analysis and early prevention and control of viral pathogens.",2020-01-24,Qian Guo; Mo Li; Chunhui Wang; Peihong Wang; Zhencheng Fang; Jie tan; Shufang Wu; Yonghong Xiao; Huaiqiu Zhu,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.01.21.914044,AI
35793,ac00tai9,b9dbb79c9e06164c3b7fefce67c11c5d6caf1fcd,biorxiv,Interpretable detection of novel human viruses from genome sequencing data,10.1101/2020.01.29.925354,,,biorxiv,"Viruses evolve extremely quickly, so reliable methods for viral host prediction are necessary to safeguard biosecurity and biosafety alike. Novel human-infecting viruses are difficult to detect with standard bioinformatics workflows. Here, we predict whether a virus can infect humans directly from next-generation sequencing reads. We show that deep neural architectures significantly outperform both shallow machine learning and standard, homology-based algorithms, cutting the error rates in half and generalizing to taxonomic units distant from those presented during training. We propose a new approach for convolutional filter visualization to disentangle the information content of each nucleotide from its contribution to the final classification decision. Nucleotide-resolution maps of the learned associations between pathogen genomes and the infectious phenotype can be used to detect virulence-related genes in novel agents, as we show here for the SARS-CoV-2 coronavirus, unknown before it caused a COVID-19 pandemic in 2020.",2020-01-30,Jakub M Bartoszewicz; Anja Seidel; Bernhard Y Renard,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.01.29.925354,AI
35810,cszqykpu,ff54e3e961a72eb1d2500166809b3651b2f98cf6,biorxiv,"Predicting commercially available antiviral drugs that may act on the novel coronavirus (2019-nCoV), Wuhan, China through a drug-target interaction deep learning model",10.1101/2020.01.31.929547,,,biorxiv,"AbstractThe infection of a novel coronavirus found in Wuhan of China (2019-nCoV) is rapidly spreading, and the incidence rate is increasing worldwide. Due to the lack of effective treatment options for 2019-nCoV, various strategies are being tested in China, including drug repurposing. In this study, we used our pretrained deep learning-based drug-target interaction model called Molecule Transformer-Drug Target Interaction (MT-DTI) to identify commercially available drugs that could act on viral proteins of 2019-nCoV. The result showed that atazanavir, an antiretroviral medication used to treat and prevent the human immunodeficiency virus (HIV), is the best chemical compound, showing a inhibitory potency with Kd of 94.94 nM against the 2019-nCoV 3C-like proteinase, followed by efavirenz (199.17 nM), ritonavir (204.05 nM), and dolutegravir (336.91 nM). Interestingly, lopinavir, ritonavir, and darunavir are all designed to target viral proteinases. However, in our prediction, they may also bind to the replication complex components of 2019-nCoV with an inhibitory potency with Kd < 1000 nM. In addition, we also found that several antiviral agents, such as Kaletra, could be used for the treatment of 2019-nCoV, although there is no real-world evidence supporting the prediction. Overall, we suggest that the list of antiviral drugs identified by the MT-DTI model should be considered, when establishing effective treatment strategies for 2019-nCoV.",2020-02-02,Bo Ram Beck; Bonggun Shin; Yoonjung Choi; Sungsoo Park; Keunsoo Kang,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.01.31.929547,AI
35823,cetdqgff,bb8e3d331bb2975e1c644c8729b842797da2d626,biorxiv,Machine learning using intrinsic genomic signatures for rapid classification of novel pathogens: COVID-19 case study,10.1101/2020.02.03.932350,,,biorxiv,"AbstractAs of February 20, 2020, the 2019 novel coronavirus (renamed to COVID-19) spread to 30 countries with 2130 deaths and more than 75500 confirmed cases. COVID-19 is being compared to the infamous SARS coronavirus, which resulted, between November 2002 and July 2003, in 8098 confirmed cases worldwide with a 9.6% death rate and 774 deaths. Though COVID-19 has a death rate of 2.8% as of 20 February, the 75752 confirmed cases in a few weeks (December 8, 2019 to February 20, 2020) are alarming, with cases likely being under-reported given the comparatively longer incubation period. Such outbreaks demand elucidation of taxonomic classification and origin of the virus genomic sequence, for strategic planning, containment, and treatment. This paper identifies an intrinsic COVID-19 genomic signature and uses it together with a machine learning-based alignment-free approach for an ultra-fast, scalable, and highly accurate classification of whole COVID-19 genomes. The proposed method combines supervised machine learning with digital signal processing for genome analyses, augmented by a decision tree approach to the machine learning component, and a Spearman’s rank correlation coefficient analysis for result validation. These tools are used to analyze a large dataset of over 5000 unique viral genomic sequences, totalling 61.8 million bp. Our results support a hypothesis of a bat origin and classify COVID-19 as Sarbecovirus, within Betacoronavirus. Our method achieves high levels of classification accuracy and discovers the most relevant relationships among over 5,000 viral genomes within a few minutes, ab initio, using raw DNA sequence data alone, and without any specialized biological knowledge, training, gene or genome annotations. This suggests that, for novel viral and pathogen genome sequences, this alignment-free whole-genome machine-learning approach can provide a reliable real-time option for taxonomic classification.",2020-02-04,Gurjit S. Randhawa; Maximillian P.M. Soltysiak; Hadi El Roz; Camila P.E. de Souza; Kathleen A. Hill; Lila Kari,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.03.932350,AI
35841,g5wpa2ee,0aff00101d5ccc6592987185ab833f95d842f98b,biorxiv,Potentially highly potent drugs for 2019-nCoV,10.1101/2020.02.05.936013,,,biorxiv,"AbstractThe World Health Organization (WHO) has declared the 2019 novel coronavirus (2019-nCoV) infection outbreak a global health emergency. Currently, there is no effective anti-2019-nCoV medication. The sequence identity of the 3CL proteases of 2019-nCoV and SARS is 96%, which provides a sound foundation for structural-based drug repositioning (SBDR). Based on a SARS 3CL protease X-ray crystal structure, we construct a 3D homology structure of 2019-nCoV 3CL protease. Based on this structure and existing experimental datasets for SARS 3CL protease inhibitors, we develop an SBDR model based on machine learning and mathematics to screen 1465 drugs in the DrugBank that have been approved by the U.S. Food and Drug Administration (FDA). We found that many FDA approved drugs are potentially highly potent to 2019-nCoV.",2020-02-13,Duc Duy Nguyen; Kaifu Gao; Jiahui Chen; Rui Wang; Guo-Wei Wei,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.05.936013,AI
35903,er6lz09f,4b56993a4d0f091e70ef5dec2e5a61c3043f752e,biorxiv,DeepTracer: Predicting Backbone Atomic Structure from High Resolution Cryo-EM Density Maps of Protein Complexes,10.1101/2020.02.12.946772,,,biorxiv,"AbstractMotivationAccurately determining the atomic structure of proteins represents a fundamental problem in the field of structural bioinformatics. A solution would be significant as protein structure information could be utilized in the medical field, e.g. in the development of vaccines for new viruses. This paper focuses on predicting the protein structure based on 3D images of the proteins captured through cryogenic electron microscopes (cryo-EM). A fully automated computationally efficient protein structure prediction method would be particularly beneficial in the field of cryo-EM as the technology allows researchers to photograph multiple large protein complexes in a single study, which means that a fast prediction method could allow for a high throughput of derived protein structures. We present a deep learning approach, DeepTracer, for predicting locations of the backbone atoms, secondary structure elements, and the amino acid types. In order to connect the predicted amino acids into chains, we applied a modified traveling salesman algorithm.ResultsWe trained our deep learning model on experimental cryo-EM density maps and tested it on a set of 50 density maps. We found that our new approach predicted protein structures with an average RMSD value of 1.18 and a coverage of 87.5%. Furthermore, we detected secondary structure information for 87.2% of amino acids correctly. We also showed preliminarily that 25.2% of amino acid types could be predicted directly from the 3D cryo-EM density map, considering 20 different types in total. Finally, we noted that the prediction runtime of DeepTracer is significantly improved compared to other methods. It predicts a large protein complex structure of more than 30,000 amino acids in only 2 hours.AvailabilityThe repository of this project will be published.Contactdongsi@uw.eduSupplementary informationSupplementary data will be available at Bioinformatics online.",2020-02-13,Jonas Pfab; Dong Si,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.12.946772,AI
35917,u2uswgy3,007509fe0a55a220464059708983124530cbf05b,medrxiv,A deep learning algorithm using CT images to screen for Corona Virus Disease (COVID-19),10.1101/2020.02.14.20023028,,,medrvix,"To control the spread of Corona Virus Disease (COVID-19), screening large numbers of suspected cases for appropriate quarantine and treatment is a priority. Pathogenic laboratory testing is the diagnostic gold standard but it is time consuming with significant false negative results. Fast and accurate diagnostic methods are urgently needed to combat the disease. Based on COVID-19 radiographical changes in CT images, we aimed to develop a deep learning method that could extract COVID-19's graphical features in order to provide a clinical diagnosis ahead of the pathogenic test, thus saving critical time for disease control. Methods:We collected 1,119 CT images of pathogen-confirmed COVID-19 cases along with those previously diagnosed with typical viral pneumonia. We modified the Inception transfer-learning model to establish the algorithm, followed by internal and external validation. Results: The internal validation achieved a total accuracy of 89.5% with specificity of 0.88 and sensitivity of 0.87. The external testing dataset showed a total accuracy of 79.3% with specificity of 0.83 and sensitivity of 0.67. In addition, in 54 COVID-19 images that first two nucleic acid test results were negative, 46 were predicted as COVID-19 positive by the algorithm, with the accuracy of 85.2%. Conclusion: These results demonstrate the proof-of-principle for using artificial intelligence to extract radiological features for timely and accurate COVID-19 diagnosis.",2020-02-17,Shuai Wang; Bo Kang; Jinlu Ma; Xianjun Zeng; Mingming Xiao; Jia Guo; Mengjiao Cai; Jingyi Yang; Yaodong Li; Xiangfei Meng; Bo Xu,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.14.20023028,AI
35988,j6y806qu,9f5625d9287d8c6729215a20add99c8cd4ba08cb,biorxiv,Potential T-cell and B-cell Epitopes of 2019-nCoV,10.1101/2020.02.19.955484,,,biorxiv,"As of early March, 2019-nCoV has infected more than one hundred thousand people and claimed thousands of lives. 2019-nCoV is a novel form of coronavirus that causes COVID-19 and has high similarity with SARS-CoV. No approved vaccine yet exists for any form of coronavirus. Here we use computational tools from structural biology and machine learning to identify 2019-nCoV T-cell and B-cell epitopes based on viral protein antigen presentation and antibody binding properties. These epitopes can be used to develop more effective vaccines and identify neutralizing antibodies. We identified 405 viral peptides with good antigen presentation scores for both human MHC-I and MHC-II alleles, and two potential neutralizing B-cell epitopes near the 2019-nCoV spike protein receptor binding domain (440-460 and 494-506). Analyzing mutation profiles of 68 viral genomes from four continents, we identified 96 coding-change mutations. These mutations are more likely to occur in regions with good MHC-I presentation scores (p=0.02). No mutations are present near the spike protein receptor binding domain. Based on these findings, the spike protein is likely immunogenic and a potential vaccine candidate. We validated our computational pipeline with SARS-CoV experimental data.Significance StatementThe novel coronavirus 2019-nCoV has affected more than 100 countries and continues to spread. There is an immediate need for effective vaccines that contain antigens which trigger responses from human T-cells and B-cells (known as epitopes). Here we identify potential T-cell epitopes through an analysis of human antigen presentation, as well as B-cell epitopes through an analysis of protein structure. We identify a list of top candidates, including an epitope located on 2019-nCoV spike protein that potentially triggers both T-cell and B-cell responses. Analyzing 68 samples, we observe that viral mutations are more likely to happen in regions with strong antigen presentation, a potential form of immune evasion. Our computational pipeline is validated with experimental data from SARS-CoV.",2020-02-21,Ethan Fast; Russ B. Altman; Binbin Chen,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.19.955484,AI
36039,zqsy6r4i,6bdd6867205d9b09f833f01c65f1bbfdae469164,medrxiv,Deep learning Enables Accurate Diagnosis of Novel Coronavirus (COVID-19) with CT images,10.1101/2020.02.23.20026930,,,medrvix,"Background A novel coronavirus (COVID-19) has emerged recently as an acute respiratory syndrome. The outbreak was originally reported in Wuhan, China, but has subsequently been spread world-widely. As the COVID-19 continues to spread rapidly across the world, computed tomography (CT) has become essentially important for fast diagnoses. Thus, it is urgent to develop an accurate computer-aided method to assist clinicians to identify COVID-19-infected patients by CT images. Materials and Methods We collected chest CT scans of 88 patients diagnosed with the COVID-19 from hospitals of two provinces in China, 101 patients infected with bacteria pneumonia, and 86 healthy persons for comparison and modeling. Based on the collected dataset, a deep learning-based CT diagnosis system (DeepPneumonia) was developed to identify patients with COVID-19. Results The experimental results showed that our model can accurately identify the COVID-19 patients from others with an excellent AUC of 0.99 and recall (sensitivity) of 0.93. In addition, our model was capable of discriminating the COVID-19 infected patients and bacteria pneumonia-infected patients with an AUC of 0.95, recall (sensitivity) of 0.96. Moreover, our model could localize the main lesion features, especially the ground-glass opacity (GGO) that is of great help to assist doctors in diagnosis. The diagnosis for a patient could be finished in 30 seconds, and the implementation on Tianhe-2 supercompueter enables a parallel executions of thousands of tasks simultaneously. An online server is available for online diagnoses with CT images by http://biomed.nscc-gz.cn/server/Ncov2019. Conclusions The established models can achieve a rapid and accurate identification of COVID-19 in human samples, thereby allowing identification of patients.",2020-02-25,Ying Song; Shuangjia Zheng; Liang Li; Xiang Zhang; Xiaodong Zhang; Ziwang Huang; Jianwen Chen; Huiying Zhao; Yusheng Jie; Ruixuan Wang; Yutian Chong; Jun Shen; Yunfei Zha; Yuedong Yang,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.23.20026930,AI
36052,vkgnwxzc,c1ae608c7ffb926a0f50a6a34c0780983274ea74,medrxiv,Estimate the incubation period of coronavirus 2019 (COVID-19),10.1101/2020.02.24.20027474,,,medrvix,"Motivation: Wuhan pneumonia is an acute infectious disease caused by the 2019 novel coronavirus (COVID-19). It is being treated as a Class A infectious disease though it was classified as Class B according to the Infectious Disease Prevention Act of China. Accurate estimation of the incubation period of the coronavirus is essential to the prevention and control. However, it remains unclear about its exact incubation period though it is believed that symptoms of COVID-19 can appear in as few as 2 days or as long as 14 or even more after exposure. The accurate incubation period calculation requires original chain-of-infection data that may not be fully available in the Wuhan regions. In this study, we aim to accurately calculate the incubation period of COVID-19 by taking advantage of the chain-of-infection data, which is well-documented and epidemiologically informative, outside the Wuhan regions. Methods: We acquired and collected officially reported COVID-19 data from 10 regions in China except for Hubei province. To achieve the accurate calculation of the incubation period, we only involved the officially confirmed cases with a clear history of exposure and time of onset. We excluded those without relevant epidemiological descriptions, working or living in Wuhan for a long time, or hard to determine the possible exposure time. We proposed a Monte Caro simulation approach to estimate the incubation of COVID-19 as well as employed nonparametric ways. We also employed manifold learning and related statistical analysis to decipher the incubation relationships between different age/gender groups. Result: The incubation period of COVID-19 did not follow general incubation distributions such as lognormal, Weibull, and Gamma distributions. We estimated that the mean and median of its incubation were 5.84 and 5.0 days via bootstrap and proposed Monte Carlo simulations. We found that the incubation periods of the groups with age>=40 years and age<40 years demonstrated a statistically significant difference. The former group had a longer incubation period and a larger variance than the latter. It further suggested that different quarantine time should be applied to the groups for their different incubation periods. Our machine learning analysis also showed that the two groups were linearly separable. incubation of COVID-19 along with previous statistical analysis. Our results further indicated that the incubation difference between males and females did not demonstrate a statistical significance.",2020-02-29,Henry Han,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.24.20027474,AI
36057,z4q0eyjo,,medrxiv,Deep learning-based model for detecting 2019 novel coronavirus pneumonia on high-resolution computed tomography: a prospective study,10.1101/2020.02.25.20021568,,,medrvix,"Background: Computed tomography (CT) is the preferred imaging method for diagnosing 2019 novel coronavirus (COVID19) pneumonia. Our research aimed to construct a system based on deep learning for detecting COVID-19 pneumonia on high resolution CT, relieve working pressure of radiologists and contribute to the control of the epidemic. Methods: For model development and validation, 46,096 anonymous images from 106 admitted patients, including 51 patients of laboratory confirmed COVID-19 pneumonia and 55 control patients of other diseases in Renmin Hospital of Wuhan University (Wuhan, Hubei province, China) were retrospectively collected and processed. Twenty-seven consecutive patients undergoing CT scans in Feb, 5, 2020 in Renmin Hospital of Wuhan University were prospectively collected to evaluate and compare the efficiency of radiologists against 2019-CoV pneumonia with that of the model. Findings: The model achieved a per-patient sensitivity of 100%, specificity of 93.55%, accuracy of 95.24%, PPV of 84.62%, and NPV of 100%; a per-image sensitivity of 94.34%, specificity of 99.16%, accuracy of 98.85%, PPV of 88.37%, and NPV of 99.61% in retrospective dataset. For 27 prospective patients, the model achieved a comparable performance to that of expert radiologist. With the assistance of the model, the reading time of radiologists was greatly decreased by 65%. Conclusion: The deep learning model showed a comparable performance with expert radiologist, and greatly improve the efficiency of radiologists in clinical practice. It holds great potential to relieve the pressure of frontline radiologists, improve early diagnosis, isolation and treatment, and thus contribute to the control of the epidemic.",2020-02-26,Jun Chen; Lianlian Wu; Jun Zhang; Liang Zhang; Dexin Gong; Yilin Zhao; Shan Hu; Yonggui Wang; Xiao Hu; Biqing Zheng; Kuo Zhang; Huiling Wu; Zehua Dong; Youming Xu; Yijie Zhu; Xi Chen; Lilei Yu; Honggang Yu,,,,,False,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.25.20021568,AI
36093,7tkvl894,35604e3a5d38d6794543372e4dd9ccf1d8d9cd2a,biorxiv,CRISPR-based surveillance for COVID-19 using genomically-comprehensive machine learning design,10.1101/2020.02.26.967026,,,biorxiv,"AbstractThe emergence and outbreak of SARS-CoV-2, the causative agent of COVID-19, has rapidly become a global concern and has highlighted the need for fast, sensitive, and specific tools to surveil circulating viruses. Here we provide assay designs and experimental resources, for use with CRISPR-based nucleic acid detection, that could be valuable for ongoing surveillance. We provide assay designs for detection of 67 viral species and subspecies, including: SARS-CoV-2, phylogenetically-related viruses, and viruses with similar clinical presentation. The designs are outputs of algorithms that we are developing for rapidly designing nucleic acid detection assays that are comprehensive across genomic diversity and predicted to be highly sensitive and specific. Of our design set, we experimentally screened 4 SARS-CoV-2 designs with a CRISPR-Cas13 detection system and then extensively tested the highest-performing SARS-CoV-2 assay. We demonstrate the sensitivity and speed of this assay using synthetic targets with fluorescent and lateral flow detection. Moreover, our provided protocol can be extended for testing the other 66 provided designs. Assay designs are available at https://adapt.sabetilab.org/.",2020-03-02,Hayden C. Metsky; Catherine A. Freije; Tinna-Solveig F. Kosoko-Thoroddsen; Pardis C. Sabeti; Cameron Myhrvold,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.26.967026,AI
