,id,sha,source,title,doi,pmcid,pubmed_id,license,summary,published,author,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id,medrxiv,arxiv,biorxiv,paper_type
26479,ammlx8aq,dda31587649135608207c2709848cee12ca0be25,pmc,Student Dropout Prediction,10.1007/978-3-030-52237-7_11,PMC7334184,,no-cc,"Among the many open problems in the learning process, students dropout is one of the most complicated and negative ones, both for the student and the institutions, and being able to predict it could help to alleviate its social and economic costs. To address this problem we developed a tool that, by exploiting machine learning techniques, allows to predict the dropout of a first-year undergraduate student. The proposed tool allows to estimate the risk of quitting an academic course, and it can be used either during the application phase or during the first year, since it selectively accounts for personal data, academic records from secondary school and also first year course credits. Our experiments have been performed by considering real data of students from eleven schools of a major University.",2020-06-09,"Del Bonifro, Francesca; Gabbrielli, Maurizio; Lisanti, Giuseppe; Zingaro, Stefano Pio",Artificial Intelligence in Education,,,,document_parses/pdf_json/dda31587649135608207c2709848cee12ca0be25.json,document_parses/pmc_json/PMC7334184.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334184/,,False,False,False,AI
26495,apxd1wru,bb8dd6d45462671d99b345ba5744c6f1859f01b1,pmc,Time-series forecasting of Bitcoin prices using high-dimensional features: a machine learning approach,10.1007/s00521-020-05129-6,PMC7334635,,no-cc,"Bitcoin is a decentralized cryptocurrency, which is a type of digital asset that provides the basis for peer-to-peer financial transactions based on blockchain technology. One of the main problems with decentralized cryptocurrencies is price volatility, which indicates the need for studying the underlying price model. Moreover, Bitcoin prices exhibit non-stationary behavior, where the statistical distribution of data changes over time. This paper demonstrates high-performance machine learning-based classification and regression models for predicting Bitcoin price movements and prices in short and medium terms. In previous works, machine learning-based classification has been studied for an only one-day time frame, while this work goes beyond that by using machine learning-based models for one, seven, thirty and ninety days. The developed models are feasible and have high performance, with the classification models scoring up to 65% accuracy for next-day forecast and scoring from 62 to 64% accuracy for seventh–ninetieth-day forecast. For daily price forecast, the error percentage is as low as 1.44%, while it varies from 2.88 to 4.10% for horizons of seven to ninety days. These results indicate that the presented models outperform the existing models in the literature.",2020-07-04,"Mudassir, Mohammed; Bennbaia, Shada; Unal, Devrim; Hammoudeh, Mohammad",Neural Comput Appl,,,,document_parses/pdf_json/bb8dd6d45462671d99b345ba5744c6f1859f01b1.json,document_parses/pmc_json/PMC7334635.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334635/,,False,False,False,AI
26504,osyfqu2i,ffc0b608f917bb85d07b8edbe54a26f29bb37604,pmc,EdNet: A Large-Scale Hierarchical Dataset in Education,10.1007/978-3-030-52240-7_13,PMC7334672,,no-cc,"Advances in Artificial Intelligence in Education (AIEd) and the ever-growing scale of Interactive Educational Systems (IESs) have led to the rise of data-driven approaches for knowledge tracing and learning path recommendation. Unfortunately, collecting student interaction data is challenging and costly. As a result, there is no public large-scale benchmark dataset reflecting the wide variety of student behaviors observed in modern IESs. Although several datasets, such as ASSISTments, Junyi Academy, Synthetic and STATICS are publicly available and widely used, they are not large enough to leverage the full potential of state-of-the-art data-driven models. Furthermore, the recorded behavior is limited to question-solving activities. To this end, we introduce EdNet, a large-scale hierarchical dataset of diverse student activities collected by Santa, a multi-platform self-study solution equipped with an artificial intelligence tutoring system. EdNet contains 131,417,236 interactions from 784,309 students collected over more than 2 years, making it the largest public IES dataset released to date. Unlike existing datasets, EdNet records a wide variety of student actions ranging from question-solving to lecture consumption to item purchasing. Also, EdNet has a hierarchical structure which divides the student actions into 4 different levels of abstractions. The features of EdNet are domain-agnostic, allowing EdNet to be easily extended to different domains. The dataset is publicly released for research purposes. We plan to host challenges in multiple AIEd tasks with EdNet to provide a common ground for the fair comparison between different state-of-the-art models and to encourage the development of practical and effective methods.",2020-06-10,"Choi, Youngduck; Lee, Youngnam; Shin, Dongmin; Cho, Junghyun; Park, Seoyon; Lee, Seewoo; Baek, Jineon; Bae, Chan; Kim, Byungsoo; Heo, Jaewe",Artificial Intelligence in Education,,,,document_parses/pdf_json/ffc0b608f917bb85d07b8edbe54a26f29bb37604.json,document_parses/pmc_json/PMC7334672.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334672/,,False,False,False,AI
26505,1swijiq3,0e21a032654cd88920490a2f758865e94ede228b,pmc,"A Large-Scale, Open-Domain, Mixed-Interface Dialogue-Based ITS for STEM",10.1007/978-3-030-52240-7_70,PMC7334673,,no-cc,"We present Korbit, a large-scale, open-domain, mixed-interface, dialogue-based intelligent tutoring system (ITS). Korbit uses machine learning, natural language processing and reinforcement learning to provide interactive, personalized learning online. Korbit has been designed to easily scale to thousands of subjects, by automating, standardizing and simplifying the content creation process. Unlike other ITS, a teacher can develop new learning modules for Korbit in a matter of hours. To facilitate learning across a wide range of STEM subjects, Korbit uses a mixed-interface, which includes videos, interactive dialogue-based exercises, question-answering, conceptual diagrams, mathematical exercises and gamification elements. Korbit has been built to scale to millions of students, by utilizing a state-of-the-art cloud-based micro-service architecture. Korbit launched its first course in 2019 and has over 7, 000 students have enrolled. Although Korbit was designed to be open-domain and highly scalable, A/B testing experiments with real-world students demonstrate that both student learning outcomes and student motivation are substantially improved compared to typical online courses.",2020-06-10,"Serban, Iulian Vlad; Gupta, Varun; Kochmar, Ekaterina; Vu, Dung D.; Belfer, Robert; Pineau, Joelle; Courville, Aaron; Charlin, Laurent; Bengio, Yoshua",Artificial Intelligence in Education,,,,document_parses/pdf_json/0e21a032654cd88920490a2f758865e94ede228b.json,document_parses/pmc_json/PMC7334673.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334673/,,False,False,False,AI
26511,8he5e5pu,0648c01f030da44fe9e0f98ef9a65efa4377652a,pmc,Automated Prediction of Novice Programmer Performance Using Programming Trajectories,10.1007/978-3-030-52240-7_49,PMC7334679,,no-cc,"Online programming courses have become widely available and host thousands of learners every year. In these courses, participants must solve programming exercises by submitting partial solutions and checking the outcome. The sequence of partial solutions submitted by a student constitutes the programming trajectory followed by the student. In our work, we define a supervised machine learning algorithm that takes as input these programming trajectories and predicts whether a student will successfully complete the next exercise. We have validated our model with two different datasets: the first one is a set of problems from the online learning platform Robomission with over one hundred thousand exercises submitted. The second one comprises one hundred thousand exercises submitted to the Hour of Code challenge. The results obtained indicate that our model can accurately predict the future performance of the students. This work provides not only a new method to represent students’ programming trajectories but also an efficient approach to predict the students’ future performance. Furthermore, the information provided by the model can be used to select the students that would benefit from an intervention.",2020-06-10,"Rubio, Miguel A.",Artificial Intelligence in Education,,,,document_parses/pdf_json/0648c01f030da44fe9e0f98ef9a65efa4377652a.json,document_parses/pmc_json/PMC7334679.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334679/,,False,False,False,AI
26513,vqcw4huk,ea0baf2c5e3d20bc634681991244590ab3676b04,pmc,Sequence-to-Sequence Models for Automated Text Simplification,10.1007/978-3-030-52240-7_6,PMC7334681,,no-cc,"A key writing skill is the capability to clearly convey desired meaning using available linguistic knowledge. Consequently, writers must select from a large array of idioms, vocabulary terms that are semantically equivalent, and discourse features that simultaneously reflect content and allow readers to grasp meaning. In many cases, a simplified version of a text is needed to ensure comprehension on the part of a targeted audience (e.g., second language learners). To address this need, we propose an automated method to simplify texts based on paraphrasing. Specifically, we explore the potential for a deep learning model, previously used for machine translation, to learn a simplified version of the English language within the context of short phrases. The best model, based on an Universal Transformer architecture, achieved a BLEU score of 66.01. We also evaluated this model’s capability to perform similar transformation to texts that were simplified by human experts at different levels.",2020-06-10,"Botarleanu, Robert-Mihai; Dascalu, Mihai; Crossley, Scott Andrew; McNamara, Danielle S.",Artificial Intelligence in Education,,,,document_parses/pdf_json/ea0baf2c5e3d20bc634681991244590ab3676b04.json,document_parses/pmc_json/PMC7334681.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334681/,,False,False,False,AI
26514,0amhw2h9,de6c6860cee67de7145419b1b33cb3a0de8cada5,pmc,Machine Learning and Student Performance in Teams,10.1007/978-3-030-52240-7_55,PMC7334682,,no-cc,"This project applies a variety of machine learning algorithms to the interactions of first year college students using the GroupMe messaging platform to collaborate online on a team project. The project assesses the efficacy of these techniques in predicting existing measures of team member performance, generated by self- and peer assessment through the Comprehensive Assessment of Team Member Effectiveness (CATME) tool. We employed a wide range of machine learning classifiers (SVM, KNN, Random Forests, Logistic Regression, Bernoulli Naive Bayes) and a range of features (generated by a socio-linguistic text analysis program, Doc2Vec, and TF-IDF) to predict individual team member performance. Our results suggest machine learning models hold out the possibility of providing accurate, real-time information about team and team member behaviors that instructors can use to support students engaged in team-based work, though challenges remain.",2020-06-10,"Ahuja, Rohan; Khan, Daniyal; Tahir, Sara; Wang, Magdalene; Symonette, Danilo; Pan, Shimei; Stacey, Simon; Engel, Don",Artificial Intelligence in Education,,,,document_parses/pdf_json/de6c6860cee67de7145419b1b33cb3a0de8cada5.json,document_parses/pmc_json/PMC7334682.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334682/,,False,False,False,AI
26517,vjutiu43,884412c9a37c93e5053b15e90c56942e7ae85de2,pmc,The Potential for the Use of Deep Neural Networks in e-Learning Student Evaluation with New Data Augmentation Method,10.1007/978-3-030-52240-7_7,PMC7334685,,no-cc,"This study attempts to use a deep neural network to assess the acquisition of knowledge and skills by students. This module is intended to shape a personalized learning path through the e-learning system. Assessing student progress at each stage of learning in an individualized process is extremely tedious and arduous. The only solution is to automate assessment using Deep Learning methods. The obstacle is the relatively small amount of data, in the form of available assessments, which is needed to train the neural network. The specifity of each subject/course taught requires the preparation of a separate neural network. The paper proposes a new method of data augmentation, Asynchronous Data Augmentation through Pre-Categorization (ADAPC), which solves this problem. It has been shown that it is possible to train a very effective deep neural network with the proposed method even for a small amount of data.",2020-06-10,"Cader, Andrzej",Artificial Intelligence in Education,,,,document_parses/pdf_json/884412c9a37c93e5053b15e90c56942e7ae85de2.json,document_parses/pmc_json/PMC7334685.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334685/,,False,False,False,AI
26520,jb7g6lwf,969044e66f4b4064078b2c8b787a11f79094300f,pmc,Investigating Transformers for Automatic Short Answer Grading,10.1007/978-3-030-52240-7_8,PMC7334688,,no-cc,"Recent advancements in the field of deep learning for natural language processing made it possible to use novel deep learning architectures, such as the Transformer, for increasingly complex natural language processing tasks. Combined with novel unsupervised pre-training tasks such as masked language modeling, sentence ordering or next sentence prediction, those natural language processing models became even more accurate. In this work, we experiment with fine-tuning different pre-trained Transformer based architectures. We train the newest and most powerful, according to the glue benchmark, transformers on the SemEval-2013 dataset. We also explore the impact of transfer learning a model fine-tuned on the MNLI dataset to the SemEval-2013 dataset on generalization and performance. We report up to 13% absolute improvement in macro-average-F1 over state-of-the-art results. We show that models trained with knowledge distillation are feasible for use in short answer grading. Furthermore, we compare multilingual models on a machine-translated version of the SemEval-2013 dataset.",2020-06-10,"Camus, Leon; Filighera, Anna",Artificial Intelligence in Education,,,,document_parses/pdf_json/969044e66f4b4064078b2c8b787a11f79094300f.json,document_parses/pmc_json/PMC7334688.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334688/,,False,False,False,AI
26521,5oi984ua,0b7778a2f614cc664983ee0f7028cd30291dc47c,pmc,Learning from Interpretable Analysis: Attention-Based Knowledge Tracing,10.1007/978-3-030-52240-7_66,PMC7334689,,no-cc,"Knowledge tracing is a well-established problem and non-trivial task in personalized education. In recent years, many existing works have been proposed to handle the knowledge tracing task, particularly recurrent neural networks based methods, e.g., Deep Knowledge Tracing (DKT). However, DKT has the problem of vibration in prediction outputs. In this paper, to better understand the problem of DKT, we utilize a mathematical computation model named Finite State Automaton(FSA), which can change from one state to another in response to the external input, to interpret the hidden state transition of the DKT when receiving inputs. And we discover the root cause of the two problems is that the DKT can not handle the long sequence input with the help of FSA. Accordingly, we propose an effective attention-based model, which can solve the above problem by directly capturing the relationships among each item of the input regardless of the length of the input sequence. The experimental results show that our proposed model can significantly outperform state-of-the-art approaches on several well-known corpora.",2020-06-10,"Zhu, Jia; Yu, Weihao; Zheng, Zetao; Huang, Changqin; Tang, Yong; Fung, Gabriel Pui Cheong",Artificial Intelligence in Education,,,,document_parses/pdf_json/0b7778a2f614cc664983ee0f7028cd30291dc47c.json,document_parses/pmc_json/PMC7334689.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334689/,,False,False,False,AI
26522,7qk68eq3,6489ef421b532e2fd051f4be0a791e6df98458d4,pmc,Distinguishing Anxiety Subtypes of English Language Learners Towards Augmented Emotional Clarity,10.1007/978-3-030-52240-7_29,PMC7334690,,no-cc,"Public Speaking Anxiety (PSA) and Foreign Language Anxiety (FLA) afflict most English Language Learners (ELLs) during a presentation. However, few tools are available to help multicultural learners clearly identify which type of anxiety they are feeling. In this paper, we present a field study conducted in real language classrooms. We developed machine learning models based on features of electrodermal activity (EDA) to predict non-verbal behaviors manifested as PSA and FLA. The students were labeled with the anxiety categories both PSA and FLA, PSA more, FLA more, or no anxiety. To classify the ELLs into their respective anxiety categories, prominent EDA features were employed that supported the predictions of anxiety sources. These results may encourage both ELLs and instructors to be aware of the origins of anxiety subtypes and develop a customized practice for public speaking in a foreign language.",2020-06-10,"Lee, Heera; Mandalapu, Varun; Kleinsmith, Andrea; Gong, Jiaqi",Artificial Intelligence in Education,,,,document_parses/pdf_json/6489ef421b532e2fd051f4be0a791e6df98458d4.json,document_parses/pmc_json/PMC7334690.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334690/,,False,False,False,AI
26528,mllkrppi,b82e2dbbc99bdb11caa8821ce0b68b208368aadd,pmc,Extended Multi-document Cohesion Network Analysis Centered on Comprehension Prediction,10.1007/978-3-030-52240-7_42,PMC7334696,,no-cc,"Theories of discourse argue that comprehension depends on the coherence of the learner’s mental representation. Our aim is to create a reliable automated representation to estimate readers’ level of comprehension based on different productions, namely self-explanations and answers to open-ended questions. Previous work relied on Cohesion Network Analysis to model a cohesion graph composed of semantic links between multiple reference texts and student productions. From this graph, a set of features was derived and used to build machine learning models to predict student comprehension scores. In this paper, we build on top of the previous study by: a) extending the CNA graph by adding new semantic links targeting specific sentences that should have been captured within the learner’s productions, and b) cleaning the self-explanations by eliminating frozen expression, as well as entries which seemed nearly identical to the source text. The results are in line with the conclusions of the previous study regarding the importance of both self-explanations and question answers in predicting the students’ reading comprehension level. They also outline the limitations of our feature generation approach, in which no substantial improvements were detected, despite adding more fine-grained features.",2020-06-10,"Nicula, Bogdan; Perret, Cecile A.; Dascalu, Mihai; McNamara, Danielle S.",Artificial Intelligence in Education,,,,document_parses/pdf_json/b82e2dbbc99bdb11caa8821ce0b68b208368aadd.json,document_parses/pmc_json/PMC7334696.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334696/,,False,False,False,AI
26532,x0fmt7pr,0c25b7681cc227ed7b0a3c53f9f1fc7114af0f8b,pmc,Towards Practical Detection of Unproductive Struggle,10.1007/978-3-030-52240-7_17,PMC7334700,,no-cc,"Extensive literature in artificial intelligence in education focuses on developing automated methods for detecting cases in which students struggle to master content while working with educational software. Such cases have often been called “wheel-spinning,” “unproductive persistence,” or “unproductive struggle.” We argue that most existing efforts rely on operationalizations and prediction targets that are misaligned to the approaches of real-world instructional systems. We illustrate facets of misalignment using Carnegie Learning’s MATHia as a case study, raising important questions being addressed by on-going efforts and for future work.",2020-06-10,"Fancsali, Stephen E.; Holstein, Kenneth; Sandbothe, Michael; Ritter, Steven; McLaren, Bruce M.; Aleven, Vincent",Artificial Intelligence in Education,,,,document_parses/pdf_json/0c25b7681cc227ed7b0a3c53f9f1fc7114af0f8b.json,document_parses/pmc_json/PMC7334700.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334700/,,False,False,False,AI
26534,134kztfu,b4819f94f8faa031d096b980179d6f2956af8cf9,pmc,Automatic Classification for Cognitive Engagement in Online Discussion Forums: Text Mining and Machine Learning Approach,10.1007/978-3-030-52240-7_21,PMC7334702,,no-cc,"For effective learning, students must set learning objectives and adopt the ad hoc cognitive behavior to achieve them. Our research work aims to ensure good scaffolding by offering tutors the opportunity to observe learners’ cognitive behaviors, especially their cognitive engagement. In this respect, we propose in the present work an automatic system for classifying learners according to their levels of cognitive engagement. To this end, we focus on the analysis of social interactions within online discussion forums. Hence, the proposed system has two main steps: 1/Learners’ vector construction and 2/SVM-based classifier. The results show the efficiency of the proposed system with an accuracy = 0.9 and a cohen’s K = 0.89.",2020-06-10,"Hayati, Hind; Khalidi Idrissi, Mohammed; Bennani, Samir",Artificial Intelligence in Education,,,,document_parses/pdf_json/b4819f94f8faa031d096b980179d6f2956af8cf9.json,document_parses/pmc_json/PMC7334702.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334702/,,False,False,False,AI
26540,8wutd3gc,22d648d299672d11b7e27c67f8da9aa28081808b,pmc,Learning Outcomes and Their Relatedness Under Curriculum Drift,10.1007/978-3-030-52240-7_39,PMC7334708,,no-cc,"A typical medical curriculum is organized as a hierarchy of learning outcomes (LOs), each LO is a short text that describes a medical concept. Machine learning models have been applied to predict relatedness between LOs. These models are trained on examples of LO-relationships annotated by experts. However, medical curricula are periodically reviewed and revised, resulting in changes to the structure and content of LOs. This work addresses the problem of model adaptation under curriculum drift. First, we propose heuristics to generate reliable annotations for the revised curriculum, thus eliminating dependence on expert annotations. Second, starting with a model pre-trained on the old curriculum, we inject a task-specific transformation layer to capture nuances of the revised curriculum. Our approach makes significant progress towards reaching human-level performance.",2020-06-10,"Mondal, Sneha; Dhamecha, Tejas I.; Pathak, Smriti; Mendoza, Red; Wijayarathna, Gayathri K.; Gagnon, Paul; Carlstedt-Duke, Jan",Artificial Intelligence in Education,,,,document_parses/pdf_json/22d648d299672d11b7e27c67f8da9aa28081808b.json,document_parses/pmc_json/PMC7334708.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334708/,,False,False,False,AI
26544,i1t5lb1n,cd2a6bb78d1e140747eb9669c133bd651597d8b7,pmc,Towards Interpretable Deep Learning Models for Knowledge Tracing,10.1007/978-3-030-52240-7_34,PMC7334712,,no-cc,"Driven by the fast advancements of deep learning techniques, deep neural network has been recently adopted to design knowledge tracing (KT) models for achieving better prediction performance. However, the lack of interpretability of these models has painfully impeded their practical applications, as their outputs and working mechanisms suffer from the intransparent decision process and complex inner structures. We thus propose to adopt the post-hoc method to tackle the interpretability issue for deep learning based knowledge tracing (DLKT) models. Specifically, we focus on applying the layer-wise relevance propagation (LRP) method to interpret RNN-based DLKT model by backpropagating the relevance from the model’s output layer to its input layer. The experiment results show the feasibility using the LRP method for interpreting the DLKT model’s predictions, and partially validate the computed relevance scores. We believe it can be a solid step towards fully interpreting the DLKT models and promote their practical applications.",2020-06-10,"Lu, Yu; Wang, Deliang; Meng, Qinggang; Chen, Penghe",Artificial Intelligence in Education,,,,document_parses/pdf_json/cd2a6bb78d1e140747eb9669c133bd651597d8b7.json,document_parses/pmc_json/PMC7334712.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334712/,,False,False,False,AI
26548,ct9ykute,5220a6f03549570bba5a0b8f69c87196684a8dd3,pmc,Siamese Neural Networks for Class Activity Detection,10.1007/978-3-030-52240-7_30,PMC7334716,,no-cc,"Classroom activity detection (CAD) aims at accurately recognizing speaker roles (either teacher or student) in classrooms. A CAD solution helps teachers get instant feedback on their pedagogical instructions. However, CAD is very challenging because (1) classroom conversations contain many conversational turn-taking overlaps between teachers and students; (2) the CAD model needs to be generalized well enough for different teachers and students; and (3) classroom recordings may be very noisy and low-quality. In this work, we address the above challenges by building a Siamese neural framework to automatically identify teacher and student utterances from classroom recordings. The proposed model is evaluated on real-world educational datasets. The results demonstrate that (1) our approach is superior on the prediction tasks for both online and offline classroom environments; and (2) our framework exhibits robustness and generalization ability on new teachers (i.e., teachers never appear in training data).",2020-06-10,"Li, Hang; Wang, Zhiwei; Tang, Jiliang; Ding, Wenbiao; Liu, Zitao",Artificial Intelligence in Education,,,,document_parses/pdf_json/5220a6f03549570bba5a0b8f69c87196684a8dd3.json,document_parses/pmc_json/PMC7334716.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334716/,,False,False,False,AI
26553,itzuehdq,2a5a7e2fdeda04dd8a0054b3abeb4688f993cb6e,pmc,Sense of Agency in Times of Automation: A Teachers’ Professional Development Proposal on the Ethical Challenges of AI Applied to Education,10.1007/978-3-030-52240-7_73,PMC7334721,,no-cc,"The possibilities given by artificial intelligence are becoming enactments of what once were just distant fictional displays. Even if we restrict the context to Artificial Intelligence in Education (AIEd) the horizon is still wide. But which society layers and ethical frameworks are being considered in the process of conceiving AIEd scope? Committed with this debate, this research focuses the ethical challenges of AIEd in terms of sense of agency development across formal education.",2020-06-10,"Mouta, Ana; Sánchez, Eva Torrecilla; Llorente, Ana María Pinto",Artificial Intelligence in Education,,,,document_parses/pdf_json/2a5a7e2fdeda04dd8a0054b3abeb4688f993cb6e.json,document_parses/pmc_json/PMC7334721.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334721/,,False,False,False,AI
26557,94s7yvfs,4c2fe36cc12e4f62a30e17e9c42939b8aaa56f6c,pmc,Deep-Cross-Attention Recommendation Model for Knowledge Sharing Micro Learning Service,10.1007/978-3-030-52240-7_31,PMC7334725,,no-cc,"Aims to provide flexible, effective and personalized online learning service, micro learning has gained wide attention in recent years as more people turn to use fragment time to grasp fragmented knowledge. Widely available online knowledge sharing is one of the most representative approaches to micro learning, and it is well accepted by online learners. However, information overload challenges such personalized online learning services. In this paper, we propose a deep cross attention recommendation model to provide online users with personalized resources based on users’ profile and historical online behaviours. This model benefits from the deep neural network, feature crossing, and attention mechanism mutually. The experiment result showed that the proposed model outperformed the state-of-the-art baselines.",2020-06-10,"Lin, Jiayin; Sun, Geng; Shen, Jun; Pritchard, David; Cui, Tingru; Xu, Dongming; Li, Li; Beydoun, Ghassan; Chen, Shiping",Artificial Intelligence in Education,,,,document_parses/pdf_json/4c2fe36cc12e4f62a30e17e9c42939b8aaa56f6c.json,document_parses/pmc_json/PMC7334725.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334725/,,False,False,False,AI
26561,w4bosam3,01f3ed13bbbfbedcde039fb2b187d6760fa2b16e,pmc,Adaptive Forgetting Curves for Spaced Repetition Language Learning,10.1007/978-3-030-52240-7_65,PMC7334729,,no-cc,"The forgetting curve has been extensively explored by psychologists, educationalists and cognitive scientists alike. In the context of Intelligent Tutoring Systems, modelling the forgetting curve for each user and knowledge component (e.g. vocabulary word) should enable us to develop optimal revision strategies that counteract memory decay and ensure long-term retention. In this study we explore a variety of forgetting curve models incorporating psychological and linguistic features, and we use these models to predict the probability of word recall by learners of English as a second language. We evaluate the impact of the models and their features using data from an online vocabulary teaching platform and find that word complexity is a highly informative feature which may be successfully learned by a neural network model.",2020-06-10,"Zaidi, Ahmed; Caines, Andrew; Moore, Russell; Buttery, Paula; Rice, Andrew",Artificial Intelligence in Education,,,,document_parses/pdf_json/01f3ed13bbbfbedcde039fb2b187d6760fa2b16e.json,document_parses/pmc_json/PMC7334729.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334729/,,False,False,False,AI
26562,sq80dso6,e6f29de656f2cbd25b07c2431474f1a174df485d,pmc,Towards Improving Sample Representativeness of Teachers on Online Social Media: A Case Study on Pinterest,10.1007/978-3-030-52240-7_24,PMC7334730,,no-cc,"Many teachers utilize online social media to supplement their students’ needs and enhance their professional activities, curating millions of educational resources. In fact, during the Coronovirus pandemic, online curation of resources provides teachers a repository of materials to provide students in online space. Teachers’ engagement online then provides the ability to learn more about how teachers are addressing students’ learning needs and potentially improve the quality of the resources they share. Historically, to perform such a study, we often survey some teachers and then leverage their shared resources to investigate education-related research questions. However, this can lead to problems including sample representativeness where surveyed teachers may not be representative of the population of teachers in social media. In this paper, we attempt to improve the sample representativeness of teachers on Pinterest. We first survey 541 teachers in the United States as seed samples and then collect their online data and social connections on Pinterest. Then, we devise a heuristic that automatically identifies other Pinterest accounts that are likely to be teachers thus improving the sample representativeness. Finally, we evaluate our heuristic with advanced machine learning techniques.",2020-06-10,"Karimi, Hamid; Derr, Tyler; Torphy, Kaitlin T.; Frank, Kenneth A.; Tang, Jiliang",Artificial Intelligence in Education,,,,document_parses/pdf_json/e6f29de656f2cbd25b07c2431474f1a174df485d.json,document_parses/pmc_json/PMC7334730.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334730/,,False,False,False,AI
26565,cm4ftw3o,62cd32bbbb34ba3c48958245702c15ff4de520b2,pmc,Automated Short-Answer Grading Using Deep Neural Networks and Item Response Theory,10.1007/978-3-030-52240-7_61,PMC7334733,,no-cc,"Automated short-answer grading (ASAG) methods using deep neural networks (DNN) have achieved state-of-the-art accuracy. However, further improvement is required for high-stakes and large-scale examinations because even a small scoring error will affect many test-takers. To improve scoring accuracy, we propose a new ASAG method that combines a conventional DNN-ASAG model and an item response theory (IRT) model. Our method uses an IRT model to estimate the test-taker’s ability from his/her true-false responses to objective questions that are offered with a target short-answer question in the same test. Then, the target short-answer score is predicted by jointly using the ability value and a distributed short-answer representation, which is obtained from an intermediate layer of a DNN-ASAG model.",2020-06-10,"Uto, Masaki; Uchida, Yuto",Artificial Intelligence in Education,,,,document_parses/pdf_json/62cd32bbbb34ba3c48958245702c15ff4de520b2.json,document_parses/pmc_json/PMC7334733.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334733/,,False,False,False,AI
26566,y5iksk8l,c42e94d53269f8bec99794fbce819dc44a4ee762,pmc,Automated Personalized Feedback Improves Learning Gains in An Intelligent Tutoring System,10.1007/978-3-030-52240-7_26,PMC7334734,,no-cc,"We investigate how automated, data-driven, personalized feedback in a large-scale intelligent tutoring system (ITS) improves student learning outcomes. We propose a machine learning approach to generate personalized feedback, which takes individual needs of students into account. We utilize state-of-the-art machine learning and natural language processing techniques to provide the students with personalized hints, Wikipedia-based explanations, and mathematical hints. Our model is used in Korbit (https://www.korbit.ai), a large-scale dialogue-based ITS with thousands of students launched in 2019, and we demonstrate that the personalized feedback leads to considerable improvement in student learning outcomes and in the subjective evaluation of the feedback.",2020-06-10,"Kochmar, Ekaterina; Vu, Dung Do; Belfer, Robert; Gupta, Varun; Serban, Iulian Vlad; Pineau, Joelle",Artificial Intelligence in Education,,,,document_parses/pdf_json/c42e94d53269f8bec99794fbce819dc44a4ee762.json,document_parses/pmc_json/PMC7334734.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334734/,,False,False,False,AI
26567,85f1yfk5,7a38033884876157fa0e2688fba756e3ca30e170,pmc,Relationships Between Body Postures and Collaborative Learning States in an Augmented Reality Study,10.1007/978-3-030-52240-7_47,PMC7334735,,no-cc,"In this paper we explore how Kinect body posture sensors can be used to detect group collaboration and learning, in the context of dyad pairs using augmented reality system. We leverage data collected during a study (N = 60 dyads) where participant pairs learned about electromagnetism. Using unsupervised machine learning methods on Kinect body posture sensor data, we contribute a set of dyad states associated with collaboration quality, attitudes toward physics and learning gains.",2020-06-10,"Radu, Iulian; Tu, Ethan; Schneider, Bertrand",Artificial Intelligence in Education,,,,document_parses/pdf_json/7a38033884876157fa0e2688fba756e3ca30e170.json,document_parses/pmc_json/PMC7334735.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334735/,,False,False,False,AI
